,State Name,County,Year,Population,FIPS,State Abbr,_merge
243,Alabama,Clarke County,2003.0,27090,1025,AL,both
244,Alabama,Clarke County,2004.0,26958,1025,AL,both
245,Alabama,Clarke County,2005.0,26764,1025,AL,both
246,Alabama,Clarke County,2006.0,26755,1025,AL,both
247,Alabama,Clarke County,2007.0,26436,1025,AL,both
248,Alabama,Clarke County,2008.0,26283,1025,AL,both
249,Alabama,Clarke County,2009.0,26038,1025,AL,both
250,Alabama,Clarke County,2010.0,25766,1025,AL,both
251,Alabama,Clarke County,2011.0,25587,1025,AL,both
252,Alabama,Clarke County,2012.0,25155,1025,AL,both
253,Alabama,Clarke County,2013.0,25123,1025,AL,both
254,Alabama,Clarke County,2014.0,24864,1025,AL,both
255,Alabama,Clarke County,2015.0,24698,1025,AL,both
256,Alabama,Clarke County,2016.0,24340,1025,AL,both
257,Alabama,Clarke County,2017.0,24063,1025,AL,both
258,Alabama,Clarke County,2018.0,23918,1025,AL,both
259,Alabama,Clarke County,2019.0,23622,1025,AL,both
260,Alabama,Clay County,2000.0,14263,1027,AL,both
261,Alabama,Clay County,2001.0,14298,1027,AL,both
262,Alabama,Clay County,2002.0,14257,1027,AL,both
263,Alabama,Clay County,2003.0,14203,1027,AL,both
264,Alabama,Clay County,2004.0,14121,1027,AL,both
265,Alabama,Clay County,2005.0,14077,1027,AL,both
266,Alabama,Clay County,2006.0,14053,1027,AL,both
267,Alabama,Clay County,2007.0,14085,1027,AL,both
268,Alabama,Clay County,2008.0,14161,1027,AL,both
269,Alabama,Clay County,2009.0,14006,1027,AL,both
270,Alabama,Clay County,2010.0,13898,1027,AL,both
271,Alabama,Clay County,2011.0,13687,1027,AL,both
272,Alabama,Clay County,2012.0,13434,1027,AL,both
273,Alabama,Clay County,2013.0,13404,1027,AL,both
274,Alabama,Clay County,2014.0,13441,1027,AL,both
275,Alabama,Clay County,2015.0,13415,1027,AL,both
276,Alabama,Clay County,2016.0,13393,1027,AL,both
