BUYER_STATE,BUYER_COUNTY,YEAR,Total_Weight
AR,CHICOT,2009,3148.077675000024
AR,CHICOT,2010,5232.166837500018
AR,CHICOT,2011,5210.798186587533
AR,CHICOT,2012,5553.788210362537
AR,CLARK,2006,4483.531793400003
AR,CLARK,2007,5480.467787175075
AR,CLARK,2008,5643.958962000062
AR,CLARK,2009,6116.885482500099
AR,CLARK,2010,7566.572025675143
AR,CLARK,2011,8139.138172725195
AR,CLARK,2012,8657.24745000017
AR,CLAY,2006,2817.068248499986
AR,CLAY,2007,3270.798562537479
AR,CLAY,2008,4097.494162499987
AR,CLAY,2009,4189.334985000005
AR,CLAY,2010,4566.645600000009
AR,CLAY,2011,4622.044016362534
AR,CLAY,2012,4832.213386350044
AR,CLEBURNE,2006,6460.911982675084
AR,CLEBURNE,2007,7616.486629500165
AR,CLEBURNE,2008,7872.690032000179
AR,CLEBURNE,2009,8693.192685000206
AR,CLEBURNE,2010,10160.06454000031
AR,CLEBURNE,2011,9871.228305000308
AR,CLEBURNE,2012,10309.058685000242
AR,CLEVELAND,2006,129.93045000000004
AR,CLEVELAND,2007,131.6077200000001
AR,CLEVELAND,2008,79.24003136250005
AR,COLUMBIA,2006,3594.8183924999717
AR,COLUMBIA,2007,4177.137629999976
AR,COLUMBIA,2008,6296.535289500078
AR,COLUMBIA,2009,6573.910203862591
AR,COLUMBIA,2010,6688.623266362602
AR,COLUMBIA,2011,7090.497360450147
AR,COLUMBIA,2012,7573.364206350132
AR,CONWAY,2006,4909.318857000046
AR,CONWAY,2007,5151.844603500045
AR,CONWAY,2008,6049.360365225092
AR,CONWAY,2009,6948.549292500117
AR,CONWAY,2010,7937.501602500122
AR,CONWAY,2011,9121.402365000176
AR,CONWAY,2012,11492.319427500192
AR,CRAIGHEAD,2006,26364.407496314027
AR,CRAIGHEAD,2007,29092.352615039345
AR,CRAIGHEAD,2008,31193.073993451686
AR,CRAIGHEAD,2009,34885.628262039165
AR,CRAIGHEAD,2010,35433.610173864465
AR,CRAIGHEAD,2011,35418.63145545167
AR,CRAIGHEAD,2012,37960.6088874765
AR,CRAWFORD,2006,22073.50515522572
AR,CRAWFORD,2007,29202.516169450853
AR,CRAWFORD,2008,35109.80314050105
AR,CRAWFORD,2009,34436.97423386344
AR,CRAWFORD,2010,40525.10708636354
AR,CRAWFORD,2011,46820.83647772614
AR,CRAWFORD,2012,54815.511754538755
AR,CRITTENDEN,2006,11768.271940000253
AR,CRITTENDEN,2007,12895.494565725256
AR,CRITTENDEN,2008,12590.829418587786
AR,CRITTENDEN,2009,12238.767225000265
AR,CRITTENDEN,2010,13859.500207500283
AR,CRITTENDEN,2011,13009.883958862769
AR,CRITTENDEN,2012,12853.186425000267
AR,CROSS,2006,2744.1315479999876
AR,CROSS,2007,3699.3956399999706
AR,CROSS,2008,4266.405029999995
AR,CROSS,2009,3769.533712499992
AR,CROSS,2010,3810.6558674999937
AR,CROSS,2011,4631.474441362519
AR,CROSS,2012,4677.91072136253
AR,DALLAS,2006,1256.9566875000053
AR,DALLAS,2007,1361.1239025000025
AR,DALLAS,2008,1454.7098288625025
AR,DALLAS,2009,1729.637625000006
AR,DALLAS,2010,1801.2129000000045
AR,DALLAS,2011,2139.371531812502
AR,DALLAS,2012,2356.137093862503
AR,DESHA,2006,2114.821612724995
AR,DESHA,2007,2600.7732855374898
AR,DESHA,2008,2757.911711812485
AR,DESHA,2009,2822.1325354499936
AR,DESHA,2010,3612.3320929500014
AR,DESHA,2011,4027.8724088624967
AR,DESHA,2012,4665.624997950045
AR,DREW,2006,3000.9562202249863
AR,DREW,2007,3843.1402454999698
AR,DREW,2008,4285.491074999988
AR,DREW,2009,4717.390545225021
AR,DREW,2010,5099.16384408755
AR,DREW,2011,5700.3234006750945
AR,DREW,2012,6144.970174087603
AR,FAULKNER,2006,16638.279497225554
AR,FAULKNER,2007,19588.176367000775
AR,FAULKNER,2008,23535.454099538478
AR,FAULKNER,2009,29658.904616363827
AR,FAULKNER,2010,33865.678912501346
AR,FAULKNER,2011,36548.544855001455
AR,FAULKNER,2012,41960.36151000165
AR,FRANKLIN,2006,3864.9187995
AR,FRANKLIN,2007,5601.150532500031
AR,FRANKLIN,2008,7065.552637500048
AR,FRANKLIN,2009,8188.945608862565
AR,FRANKLIN,2010,9512.426527500116
